,index,start_time,open,high,low,close,position,k1,kk1,kkk1,k2,kk2,do,ko
0,0,2017-08-17T21:02:00+08:00,1313.5,1313.5,1311.5,1313.5,24420,0,0,0,0,0,0,0
1,1,2017-08-17T21:05:00+08:00,1318.5,1320.0,1318.0,1318.0,24394,0,-26,0,0,0,-26,0
2,2,2017-08-17T21:08:00+08:00,1317.5,1318.5,1317.5,1317.5,24362,0,0,-16,0,0,-42,-16
3,3,2017-08-17T21:11:00+08:00,1319.5,1319.5,1318.0,1318.0,24230,0,-132,0,0,0,-174,-16
4,4,2017-08-17T21:14:00+08:00,1321.0,1321.5,1320.0,1321.5,24034,0,0,0,0,-196,-174,-212
5,5,2017-08-17T21:17:00+08:00,1320.5,1320.5,1318.0,1318.0,23900,0,-134,0,0,0,-308,-212
6,6,2017-08-17T21:20:00+08:00,1317.0,1317.0,1316.0,1317.0,23870,0,0,-15,0,0,-323,-227
7,7,2017-08-17T21:23:00+08:00,1317.0,1317.0,1315.0,1315.0,23822,0,-48,0,0,0,-371,-227
8,8,2017-08-17T21:26:00+08:00,1315.0,1315.0,1314.0,1315.0,23780,0,0,-21,0,0,-392,-248
9,9,2017-08-17T21:30:00+08:00,1315.0,1315.0,1314.0,1314.0,23758,0,-22,0,0,0,-414,-248
10,10,2017-08-17T21:33:00+08:00,1310.0,1310.5,1310.0,1310.5,23676,0,0,0,0,-82,-414,-330
11,11,2017-08-17T21:36:00+08:00,1310.5,1310.5,1310.5,1310.5,23644,0,0,-16,0,0,-430,-346
12,12,2017-08-17T21:39:00+08:00,1314.0,1314.0,1312.0,1312.0,23626,0,-18,0,0,0,-448,-346
13,13,2017-08-17T21:42:00+08:00,1313.0,1313.0,1312.5,1312.5,23612,0,-14,0,0,0,-462,-346
14,14,2017-08-17T21:47:00+08:00,1315.0,1315.0,1315.0,1315.0,23578,0,0,-17,0,0,-479,-363
15,15,2017-08-17T21:51:00+08:00,1314.0,1314.5,1314.0,1314.5,23564,0,0,0,0,-14,-479,-377
16,16,2017-08-17T21:55:00+08:00,1313.0,1313.0,1312.5,1312.5,23550,0,-14,0,0,0,-493,-377
17,17,2017-08-17T21:58:00+08:00,1312.5,1313.0,1312.5,1313.0,23520,0,0,0,0,-30,-493,-407
18,18,2017-08-17T22:01:00+08:00,1315.0,1315.0,1314.5,1314.5,23474,0,-46,0,0,0,-539,-407
19,19,2017-08-17T22:06:00+08:00,1315.5,1315.5,1315.5,1315.5,23462,0,0,-6,0,0,-545,-413
20,20,2017-08-17T22:09:00+08:00,1313.5,1313.5,1313.5,1313.5,23452,0,0,-5,0,0,-550,-418
21,21,2017-08-17T22:12:00+08:00,1313.0,1313.0,1312.5,1312.5,23446,0,-6,0,0,0,-556,-418
22,22,2017-08-17T22:15:00+08:00,1312.5,1312.5,1310.0,1312.0,23392,0,-54,0,0,0,-610,-418
